星期 ,日期,队伍1,让分,预期胜率,得分,队伍2,让分2,预期胜率,得分2,分差,是否穿盘
Wednesday, Jan. 10,Grizzlies , ,0.47,105,Pelicans ,-0.5,0.53,102,-3,NO
Wednesday, Jan. 10,Thunder , ,0.26,88,T'wolves,-6.5,0.74,104,16,YES
Wednesday, Jan. 10,Magic , ,0.15,103,Bucks ,-11,0.85,110,7,NO
Wednesday, Jan. 10,Trail Blazers , ,0.18,112,Rockets ,-9.5,0.82,121,9,NO
Wednesday, Jan. 10,Hawks , ,0.11,110,Nuggets ,-13,0.89,97,-13,NO
Wednesday, Jan. 10,Clippers , ,0.12,125,Warriors ,-12.5,0.88,106,-19,NO
Tuesday, Jan. 9,Heat , ,0.21,90,Raptors ,-8,0.79,89,-1,NO
Tuesday, Jan. 9,Trail Blazers , ,0.23,117,Thunder ,-7.5,0.77,106,-11,NO
Tuesday, Jan. 9,Magic , ,0.24,99,Mavericks ,-7,0.76,114,15,YES
Tuesday, Jan. 9,Kings , ,0.27,86,Lakers ,-6,0.73,99,13,YES
Monday, Jan. 8,Bucks , ,0.43,96,Pacers ,-2,0.57,109,13,YES
Monday, Jan. 8,Nets , ,0.33,113,Raptors ,-4.5,0.67,114,1,NO
Monday, Jan. 8,Cavaliers , ,0.35,99,T'wolves,-3.5,0.65,127,28,YES
Monday, Jan. 8,Pistons , ,0.32,109,Pelicans ,-4.5,0.68,112,3,NO
Monday, Jan. 8,Bulls , ,0.31,107,Rockets ,-5,0.69,116,9,YES
Monday, Jan. 8,Kings , ,0.34,100,Spurs ,-4,0.66,107,7,YES
Monday, Jan. 8,Hawks , ,0.15,107,Clippers ,-10.5,0.85,108,1,NO
Monday, Jan. 8,Nuggets , ,0.17,114,Warriors ,-10,0.83,124,10,NO
Sunday, Jan. 7,Jazz , ,0.38,102,Heat ,-3,0.62,103,1,NO
Sunday, Jan. 7,Knicks , ,0.32,100,Mavericks ,-4.5,0.68,96,-4,NO
Sunday, Jan. 7,Suns , ,0.29,114,Thunder ,-5.5,0.71,100,-14,NO
Sunday, Jan. 7,Spurs , PK,0.5,110,Trail Blazers ,0,0.5,111,1,YES
Sunday, Jan. 7,Hawks , ,0.35,113,Lakers ,-4,0.65,132,19,YES
Saturday, Jan. 6,Clippers , ,0.31,105,Warriors ,-5,0.69,121,16,YES
Saturday, Jan. 6,Nets , ,0.46,85,Celtics ,-1,0.54,87,2,YES
Saturday, Jan. 6,Bulls , ,0.25,86,Pacers ,-6.5,0.75,125,39,YES
Saturday, Jan. 6,Magic , ,0.3,127,Cavaliers ,-5,0.7,131,4,NO
Saturday, Jan. 6,Pistons , ,0.33,108,Rockets ,-4.5,0.67,101,-7,NO
Saturday, Jan. 6,Bucks , ,0.31,110,Wizards ,-5,0.69,103,-7,NO
Saturday, Jan. 6,Pelicans , ,0.35,98,T'wolves,-4,0.65,116,18,YES
Saturday, Jan. 6,Kings , ,0.35,106,Nuggets ,-3.5,0.65,98,-8,NO
Friday, Jan. 5,Pistons , ,0.34,78,76ers ,-4,0.66,114,36,YES
Friday, Jan. 5,T'wolves, ,0.36,84,Celtics ,-3.5,0.64,91,7,YES
Friday, Jan. 5,Knicks , ,0.31,103,Heat ,-5,0.69,107,4,NO
Friday, Jan. 5,Bucks , ,0.46,110,Raptors ,-1,0.54,129,19,YES
Friday, Jan. 5,Bulls , ,0.28,127,Mavericks ,-5.5,0.72,124,-3,NO
Friday, Jan. 5,Suns , ,0.14,89,Spurs ,-11,0.86,103,14,YES
Friday, Jan. 5,Jazz , ,0.23,91,Nuggets ,-7.5,0.77,99,8,YES
Friday, Jan. 5,Grizzlies , ,0.44,100,Wizards ,-1.5,0.56,102,2,YES
Friday, Jan. 5,Hawks , ,0.21,89,Trail Blazers ,-8,0.79,110,21,YES
Friday, Jan. 5,Lakers , ,0.46,94,Hornets ,-1,0.54,108,14,YES
Thursday, Jan. 4,Warriors , ,0.47,124,Rockets ,-1,0.53,114,-10,NO
Thursday, Jan. 4,Thunder , ,0.43,127,Clippers ,-1.5,0.57,117,-10,NO
Wednesday, Jan. 3,Magic , ,0.23,98,Rockets ,-7.5,0.77,116,18,YES
Wednesday, Jan. 3,Knicks , ,0.2,103,Wizards ,-8.5,0.8,121,18,YES
Wednesday, Jan. 3,Spurs , ,0.47,106,76ers ,-0.5,0.53,112,6,YES
Wednesday, Jan. 3,Pistons , ,0.4,104,Heat ,-2.5,0.6,111,7,YES
Wednesday, Jan. 3,Nets , ,0.4,98,T'wolves,-2.5,0.6,97,-1,NO
Wednesday, Jan. 3,Cavaliers , ,0.33,88,Celtics ,-4.5,0.67,102,14,YES
Wednesday, Jan. 3,Pacers , ,0.31,101,Bucks ,-5,0.69,122,21,YES
Wednesday, Jan. 3,Bulls , ,0.33,115,Raptors ,-4.5,0.67,124,9,YES
Wednesday, Jan. 3,Mavericks , ,0.29,122,Warriors ,-5.5,0.71,125,3,NO
Wednesday, Jan. 3,Pelicans , ,0.31,108,Jazz ,-5,0.69,98,-10,NO
Wednesday, Jan. 3,Suns , ,0.1,111,Nuggets ,-13.5,0.9,134,23,YES
Wednesday, Jan. 3,Lakers , ,0.33,96,Thunder ,-4,0.67,133,37,YES
Tuesday, Jan. 2,Trail Blazers , ,0.2,110,Cavaliers ,-8.5,0.8,127,17,YES
Tuesday, Jan. 2,Knicks , ,0.41,91,Spurs ,-2,0.59,100,9,YES
Tuesday, Jan. 2,Hawks , ,0.32,103,Suns ,-4.5,0.68,104,1,NO
Tuesday, Jan. 2,Kings , ,0.44,111,Hornets ,-1.5,0.56,131,20,YES
Tuesday, Jan. 2,Grizzlies , ,0.25,105,Clippers ,-7,0.75,113,8,YES
Monday, Jan. 1 (New Year's Day),Bucks , ,0.22,127,Raptors ,-8,0.78,131,4,NO
Monday, Jan. 1 (New Year's Day),Magic , ,0.34,95,Nets ,-4,0.66,98,3,NO
Monday, Jan. 1 (New Year's Day),Lakers , ,0.14,96,T'wolves,-11,0.86,114,18,YES
Monday, Jan. 1 (New Year's Day),Bulls , ,0.47,120,Trail Blazers ,-0.5,0.53,124,4,YES
Sunday, Dec. 31 (New Year's Eve),Bulls , ,0.23,110,Wizards ,-7.5,0.77,114,4,NO
Sunday, Dec. 31 (New Year's Eve),Pacers , ,0.49,90,T'wolves,0,0.51,107,17,YES
Sunday, Dec. 31 (New Year's Eve),Nets , ,0.18,105,Celtics ,-9,0.82,108,3,NO
Sunday, Dec. 31 (New Year's Eve),Hornets , ,0.33,98,Clippers ,-4.5,0.67,106,8,YES
Sunday, Dec. 31 (New Year's Eve),Mavericks , ,0.19,116,Thunder ,-9,0.81,113,-3,NO
Sunday, Dec. 31 (New Year's Eve),Lakers , ,0.11,142,Rockets ,-13,0.89,148,6,NO
Sunday, Dec. 31 (New Year's Eve),Grizzlies , ,0.36,114,Kings ,-3.5,0.64,96,-18,NO
Sunday, Dec. 31 (New Year's Eve),76ers , ,0.42,123,Suns ,-2,0.58,110,-13,NO
Saturday, Dec. 30,Heat , ,0.42,117,Magic ,-2,0.58,111,-6,NO
Saturday, Dec. 30,Knicks , ,0.32,105,Pelicans ,-4.5,0.68,103,-2,NO
Saturday, Dec. 30,Pistons , ,0.45,93,Spurs ,-1,0.55,79,-14,NO
Saturday, Dec. 30,Hawks , ,0.35,104,Trail Blazers ,-4,0.65,89,-15,NO
Saturday, Dec. 30,Cavaliers , ,0.45,101,Jazz ,-1,0.55,104,3,YES
Saturday, Dec. 30,Grizzlies , ,0.1,128,Warriors ,-13.5,0.9,141,13,NO
Saturday, Dec. 30,76ers , ,0.19,107,Nuggets ,-9,0.81,102,-5,NO
Friday, Dec. 29,Wizards , ,0.47,121,Rockets ,-0.5,0.53,103,-18,NO
Friday, Dec. 29,Hawks , ,0.1,98,Raptors ,-13.5,0.9,111,13,NO
Friday, Dec. 29,Nets , ,0.25,111,Heat ,-6.5,0.75,87,-24,NO
Friday, Dec. 29,Mavericks , ,0.25,128,Pelicans ,-7,0.75,120,-8,NO
Friday, Dec. 29,Pacers , ,0.47,107,Bulls ,-0.5,0.53,119,12,YES
Friday, Dec. 29,Bucks , ,0.17,97,Thunder ,-9.5,0.83,95,-2,NO
Friday, Dec. 29,Suns , ,0.37,111,Kings ,-3.5,0.63,101,-10,NO
Friday, Dec. 29,Hornets , ,0.08,111,Warriors ,-14.5,0.92,100,-11,NO
Friday, Dec. 29,Clippers , PK,0.5,121,Lakers ,0,0.5,106,-15,NO
Thursday, Dec. 28,Magic , ,0.45,102,Pistons ,-1,0.55,89,-13,NO
