时间,主队,客队,主队得分,客队得分,上半场主队得分,上半场客队得分,让分,总分盘,总得分,是否大分
2017/12/6 19:35,上海哔哩哔哩,浙江稠州银行,97,102,51,49,4.5,217.5,199,NO
2017/12/6 19:35,辽宁本钢,北京首钢,104,97,60,50,10.5,200.5,201,YES
2017/12/6 19:35,浙江广厦控股,江苏肯帝亚,111,95,53,50,8.5,210.5,206,NO
2017/12/7 19:35,广东东莞银行,山西汾酒股份,124,98,53,48,12.5,216.5,222,YES
2017/12/7 19:35,山东高速,八一双鹿电池,106,88,60,45,20.5,188.5,194,YES
2017/12/7 19:35,北京农商银行,广州证券,97,89,39,45,4,214.5,186,NO
2017/12/7 19:35,天津滨海云商,四川品胜,104,93,48,53,1,224.5,197,NO
2017/12/7 20:00,新疆喀什古城,青岛国信双星,133,113,73,50,18.5,219,246,YES
2017/12/8 19:35,福建SBS,辽宁本钢,102,123,57,53,-6.5,220.5,225,YES
2017/12/8 19:35,浙江稠州银行,九台农商银行,120,100,57,50,15.5,219.5,220,YES
2017/12/8 19:35,江苏肯帝亚,上海哔哩哔哩,101,96,51,53,8.5,210.5,197,NO
2017/12/8 19:35,北京首钢,深圳马可波罗,92,89,47,38,3.5,203.5,181,NO
2017/12/8 19:35,浙江广厦控股,南京同曦,146,106,76,59,17.5,222.5,252,YES
2017/12/9 19:35,山西汾酒股份,四川品胜,110,101,55,58,7.5,229,211,NO
2017/12/9 19:35,青岛国信双星,八一双鹿电池,107,83,57,35,11.5,195.5,190,NO
2017/12/9 19:35,天津滨海云商,新疆喀什古城,105,110,54,51,-9.5,217.5,215,NO
2017/12/9 19:35,北京农商银行,广东东莞银行,103,100,56,55,-12,203.5,203,NO
2017/12/10 19:35,南京同曦,江苏肯帝亚,91,107,46,60,-6.5,207.5,198,NO
2017/12/10 19:35,北京首钢,广州证券,122,116,66,47,11.5,207.5,238,YES
2017/12/10 19:35,深圳马可波罗,福建SBS,135,130,63,56,8.5,227.5,265,YES
2017/12/10 19:35,山东高速,浙江广厦控股,131,126,68,45,2,214.5,257,YES
2017/12/10 19:35,九台农商银行,上海哔哩哔哩,110,114,56,61,-7.5,222.5,224,YES
2017/12/10 19:35,浙江稠州银行,辽宁本钢,95,92,34,39,-4.5,206.5,187,NO
2017/12/12 19:35,江苏肯帝亚,山东高速,99,111,43,62,-1.5,203.5,210,YES
2017/12/12 19:35,八一双鹿电池,天津滨海云商,100,86,52,40,-3.5,190.5,186,NO
2017/12/12 19:35,四川品胜,北京农商银行,99,100,46,41,3.5,210.5,199,NO
2017/12/12 19:35,青岛国信双星,浙江广厦控股,105,113,63,57,-15.5,225.5,218,NO
2017/12/12 19:35,山西汾酒股份,新疆喀什古城,116,114,62,66,4,227.5,230,YES
2017/12/13 19:35,广州证券,福建SBS,126,120,52,63,3.5,231.5,246,YES
