时间,主队,客队,主队得分,客队得分,上半场主队得分,上半场客队得分,让分,总分盘
2018-01-19 18:00,釜山KTF魔翼,全州宙斯盾,86,91,50,38,-7.5,165.5
2018-01-19 18:00,蔚山现代太阳神,仁川黑色撞击者,80,84,39,39,5,161.5
2018-01-20 14:00,首尔SK骑士,昌原LG猎隼,71,62,33,29,7.5,162.5
2018-01-20 14:00,高阳猎户座,安养人参,92,96,40,47,-7,166.5
2018-01-20 16:00,首尔三星雷电,原州东浦新世代,84,93,37,37,-3,163.5
2018-01-21 14:00,蔚山现代太阳神,昌原LG猎隼,82,66,38,27,8,161.5
2018-01-21 14:00,高阳猎户座,釜山KTF魔翼,86,79,39,48,5.5,164.5
2018-01-21 16:00,首尔SK骑士,仁川黑色撞击者,88,84,44,38,5,166
2018-01-23 18:00,安养人参,仁川黑色撞击者,84,75,41,34,6.5,170.5
2018-01-23 18:00,高阳猎户座,全州宙斯盾,82,87,48,41,-4,164.5
2018-01-24 18:00,釜山KTF魔翼,原州东浦新世代,92,93,48,39,-8.5,168
2018-01-24 18:00,首尔SK骑士,首尔三星雷电,76,86,28,39,5,165.5
2018-01-25 18:00,昌原LG猎隼,安养人参,96,86,53,35,-6.5,164.5
2018-01-25 18:00,全州宙斯盾,蔚山现代太阳神,79,86,29,40,2.5,164.5
2018-01-26 18:00,原州东浦新世代,首尔SK骑士,108,89,50,45,4.5,166.5
2018-01-26 18:00,仁川黑色撞击者,高阳猎户座,90,88,48,39,3.5,166.5
2018-01-27 14:00,釜山KTF魔翼,昌原LG猎隼,72,75,32,34,-4.5,162.5
2018-01-27 14:00,蔚山现代太阳神,首尔三星雷电,80,92,41,45,6,163.5
2018-01-27 16:00,安养人参,全州宙斯盾,81,91,37,50,-1,168.5
2018-01-28 14:00,釜山KTF魔翼,首尔三星雷电,89,90,43,47,-7,167.5
2018-01-28 14:00,蔚山现代太阳神,昌原LG猎隼,96,75,47,34,6.5,160.5
2018-01-28 16:00,高阳猎户座,原州东浦新世代,83,88,44,37,-6,167.5
2018-01-30 18:00,首尔三星雷电,安养人参,91,94,36,49,,169.5
2018-01-30 18:00,全州宙斯盾,昌原LG猎隼,83,77,43,31,8.5,165.5
2018-01-31 18:00,蔚山现代太阳神,首尔SK骑士,78,84,38,42,3,164.5
2018-01-31 18:00,仁川黑色撞击者,釜山KTF魔翼,82,69,48,35,6.5,165.5
2018-02-01 18:00,高阳猎户座,安养人参,106,90,52,58,-6,171.5
2018-02-01 18:00,原州东浦新世代,昌原LG猎隼,97,87,45,35,7,162.5
2018-02-02 18:00,釜山KTF魔翼,蔚山现代太阳神,95,88,47,49,-5,166.5
2018-02-02 18:00,仁川黑色撞击者,首尔三星雷电,83,63,35,33,2,169.5
2018-02-03 14:00,首尔SK骑士,安养人参,98,91,57,41,2,170.5
2018-02-03 14:00,全州宙斯盾,原州东浦新世代,79,80,42,49,3.5,165
2018-02-03 16:00,昌原LG猎隼,高阳猎户座,85,88,41,38,3.5,165
2018-02-04 14:00,全州宙斯盾,首尔SK骑士,,,'','',,
2018-02-04 14:00,首尔三星雷电,原州东浦新世代,,,'','',,
2018-02-04 16:00,蔚山现代太阳神,仁川黑色撞击者,,,'','',,
